Corrente(A),Torque(Nm),Incerteza Corrente(A),Incerteza Torque(Nm)
0,0,0.04,0.05
0.25,0.21,0.04375,0.05
0.511,0.42,0.047665,0.05
0.755,0.61,0.051325,0.05
1.015,0.74,0.055225,0.05
1.252,0.89,0.05878,0.05
1.504,1.07,0.06256,0.05
1.75,1.25,0.06625,0.05
2.009,1.42,0.070135,0.05
2.25,1.6,0.07375,0.05
2.509,1.8,0.077635,0.05
